Identity_Type	Identifier
OrganismTaxon	5061
GeneOrGeneProduct	12952
GeneOrGeneProduct	12953
ChemicalEntity	C574808
GeneOrGeneProduct	23265
GeneOrGeneProduct	23433
GeneOrGeneProduct	8874
GeneOrGeneProduct	3593
GeneOrGeneProduct	27178
DiseaseOrPhenotypicFeature	C536657
GeneOrGeneProduct	2303
GeneOrGeneProduct	1457
SequenceVariant	p|Allele|S|271
SequenceVariant	p|SUB|S|271|A
SequenceVariant	p|SUB|S|271|D
DiseaseOrPhenotypicFeature	D000094025
GeneOrGeneProduct	767
GeneOrGeneProduct	8687
GeneOrGeneProduct	3123
GeneOrGeneProduct	3105
GeneOrGeneProduct	25913
GeneOrGeneProduct	4157
ChemicalEntity	C039909
ChemicalEntity	D045162
GeneOrGeneProduct	69769
GeneOrGeneProduct	310663
DiseaseOrPhenotypicFeature	D001206
ChemicalEntity	D012721
GeneOrGeneProduct	551567
GeneOrGeneProduct	406104
GeneOrGeneProduct	7155
ChemicalEntity	C070899
GeneOrGeneProduct	11171
DiseaseOrPhenotypicFeature	D009750
DiseaseOrPhenotypicFeature	C564221
GeneOrGeneProduct	3159
ChemicalEntity	D002996
CellLine	CVCL_VN30
ChemicalEntity	C091861
GeneOrGeneProduct	1191
GeneOrGeneProduct	9445
DiseaseOrPhenotypicFeature	OMIM:176500
DiseaseOrPhenotypicFeature	C538209
DiseaseOrPhenotypicFeature	D018302
GeneOrGeneProduct	4603
GeneOrGeneProduct	8892
GeneOrGeneProduct	1967
GeneOrGeneProduct	1965
GeneOrGeneProduct	304688
DiseaseOrPhenotypicFeature	D004438
GeneOrGeneProduct	51142
GeneOrGeneProduct	400916
ChemicalEntity	C505606
ChemicalEntity	D004997
GeneOrGeneProduct	364773
GeneOrGeneProduct	55240
GeneOrGeneProduct	26872
GeneOrGeneProduct	6885
DiseaseOrPhenotypicFeature	D011561
DiseaseOrPhenotypicFeature	D020256
DiseaseOrPhenotypicFeature	D000793
DiseaseOrPhenotypicFeature	D047728
DiseaseOrPhenotypicFeature	D057165
DiseaseOrPhenotypicFeature	D009216
GeneOrGeneProduct	57697
GeneOrGeneProduct	213895
GeneOrGeneProduct	6461
GeneOrGeneProduct	18534
GeneOrGeneProduct	432530
SequenceVariant	rs1695
SequenceVariant	p|SUB|V||V
SequenceVariant	p|SUB|I||I
ChemicalEntity	D000074
SequenceVariant	rs786204433(Expired)
SequenceVariant	p|SUB|R|1882|*
DiseaseOrPhenotypicFeature	D001260
GeneOrGeneProduct	75410
GeneOrGeneProduct	27223
GeneOrGeneProduct	9757
GeneOrGeneProduct	170472
DiseaseOrPhenotypicFeature	C535944
DiseaseOrPhenotypicFeature	D018222
GeneOrGeneProduct	6037
ChemicalEntity	D000068759
ChemicalEntity	D000069447
GeneOrGeneProduct	9356
GeneOrGeneProduct	9376
GeneOrGeneProduct	9356
GeneOrGeneProduct	9376
GeneOrGeneProduct	301300
GeneOrGeneProduct	294515
GeneOrGeneProduct	294051
SequenceVariant	rs63750231
ChemicalEntity	D015126
GeneOrGeneProduct	2931
CellLine	CVCL_7212
GeneOrGeneProduct	3717
GeneOrGeneProduct	3718
ChemicalEntity	C095512
GeneOrGeneProduct	1237
GeneOrGeneProduct	13488
GeneOrGeneProduct	11604
GeneOrGeneProduct	18976
ChemicalEntity	C438206
GeneOrGeneProduct	68738
GeneOrGeneProduct	104112
GeneOrGeneProduct	16891
GeneOrGeneProduct	12918
GeneOrGeneProduct	497942
GeneOrGeneProduct	25662
GeneOrGeneProduct	24511
ChemicalEntity	C551788
GeneOrGeneProduct	31002
ChemicalEntity	C089946
DiseaseOrPhenotypicFeature	D004714
GeneOrGeneProduct	5420
ChemicalEntity	C016709
GeneOrGeneProduct	108995
GeneOrGeneProduct	26406
GeneOrGeneProduct	16150
GeneOrGeneProduct	374569
OrganismTaxon	556
ChemicalEntity	C546012
ChemicalEntity	C528327
ChemicalEntity	C571029
GeneOrGeneProduct	6427
CellLine	CVCL_D461
GeneOrGeneProduct	30956
GeneOrGeneProduct	73412
GeneOrGeneProduct	8644
ChemicalEntity	D000069501
ChemicalEntity	C572045
ChemicalEntity	C000607739
CellLine	CVCL_4784
ChemicalEntity	C011015
GeneOrGeneProduct	51811
GeneOrGeneProduct	104231
DiseaseOrPhenotypicFeature	D004829
DiseaseOrPhenotypicFeature	D053609
DiseaseOrPhenotypicFeature	D001602
GeneOrGeneProduct	22184
GeneOrGeneProduct	8233
DiseaseOrPhenotypicFeature	D050398
GeneOrGeneProduct	851352
GeneOrGeneProduct	851351
DiseaseOrPhenotypicFeature	D001072
SequenceVariant	p|Allele|P|12
SequenceVariant	p|SUB|M|492|V
ChemicalEntity	D019904
CellLine	CVCL_L855
ChemicalEntity	C551528
GeneOrGeneProduct	5106
ChemicalEntity	C029424
OrganismTaxon	37162
ChemicalEntity	D011622
GeneOrGeneProduct	7066
GeneOrGeneProduct	16440
GeneOrGeneProduct	5345
DiseaseOrPhenotypicFeature	C535516
DiseaseOrPhenotypicFeature	C566903
SequenceVariant	p|SUB|A||I
SequenceVariant	p|SUB|A|5165|I
GeneOrGeneProduct	5927
GeneOrGeneProduct	5515
GeneOrGeneProduct	5528
DiseaseOrPhenotypicFeature	D005153
SequenceVariant	p|SUB|C|196|R
GeneOrGeneProduct	50488
GeneOrGeneProduct	5523
GeneOrGeneProduct	29966
GeneOrGeneProduct	114243
GeneOrGeneProduct	310553
GeneOrGeneProduct	108155
GeneOrGeneProduct	76055
DiseaseOrPhenotypicFeature	D017682
GeneOrGeneProduct	397231
GeneOrGeneProduct	404704
OrganismTaxon	37296
GeneOrGeneProduct	100533201
GeneOrGeneProduct	21973
ChemicalEntity	D015124
GeneOrGeneProduct	1033
GeneOrGeneProduct	55388
GeneOrGeneProduct	55872
GeneOrGeneProduct	259266
GeneOrGeneProduct	9768
GeneOrGeneProduct	853089
OrganismTaxon	170351
ChemicalEntity	C001801
ChemicalEntity	C482678
ChemicalEntity	D019980
DiseaseOrPhenotypicFeature	C563086
GeneOrGeneProduct	11429
CellLine	CVCL_D269
ChemicalEntity	D011224
GeneOrGeneProduct	6654
GeneOrGeneProduct	5894
GeneOrGeneProduct	10625
GeneOrGeneProduct	57762
CellLine	CVCL_0334
ChemicalEntity	C493154
GeneOrGeneProduct	93649
GeneOrGeneProduct	9113
ChemicalEntity	C038015
ChemicalEntity	D000069877
GeneOrGeneProduct	102723407
DiseaseOrPhenotypicFeature	D004403
SequenceVariant	rs2159377
SequenceVariant	rs179008
SequenceVariant	rs5935438
SequenceVariant	rs5743305
SequenceVariant	rs55789327
CellLine	CVCL_0112
ChemicalEntity	C527517
DiseaseOrPhenotypicFeature	D056728
DiseaseOrPhenotypicFeature	D014842
ChemicalEntity	D012310
ChemicalEntity	C038300
ChemicalEntity	D009828
GeneOrGeneProduct	80700
GeneOrGeneProduct	6772
GeneOrGeneProduct	6773
ChemicalEntity	D015250
ChemicalEntity	C010012
GeneOrGeneProduct	10498
GeneOrGeneProduct	5965
GeneOrGeneProduct	54969
ChemicalEntity	C533237
ChemicalEntity	D005857
GeneOrGeneProduct	12479
GeneOrGeneProduct	84525
GeneOrGeneProduct	74318
GeneOrGeneProduct	364
GeneOrGeneProduct	4284
ChemicalEntity	C014121
GeneOrGeneProduct	25272
ChemicalEntity	D004949
ChemicalEntity	C108475
GeneOrGeneProduct	325
GeneOrGeneProduct	7846
GeneOrGeneProduct	10808
GeneOrGeneProduct	1072
GeneOrGeneProduct	5216
GeneOrGeneProduct	24071
ChemicalEntity	C000712847
GeneOrGeneProduct	104042
ChemicalEntity	C055305
SequenceVariant	p|SUB|N|86|Y
SequenceVariant	p|SUB|Y|184|F
SequenceVariant	p|SUB|I|431|V
GeneOrGeneProduct	29109
GeneOrGeneProduct	8976
GeneOrGeneProduct	29949
GeneOrGeneProduct	361967
GeneOrGeneProduct	114114
GeneOrGeneProduct	171116
DiseaseOrPhenotypicFeature	D014770
ChemicalEntity	C000616260
DiseaseOrPhenotypicFeature	D001134
GeneOrGeneProduct	21750
CellLine	CVCL_JE75
GeneOrGeneProduct	72836
GeneOrGeneProduct	14312
GeneOrGeneProduct	4049
GeneOrGeneProduct	79767
GeneOrGeneProduct	1793
GeneOrGeneProduct	1794
GeneOrGeneProduct	1795
GeneOrGeneProduct	80005
GeneOrGeneProduct	9732
SequenceVariant	rs375983845
SequenceVariant	rs183146864
GeneOrGeneProduct	1793
CellLine	CVCL_L909
DiseaseOrPhenotypicFeature	D017889
GeneOrGeneProduct	24837
DiseaseOrPhenotypicFeature	C000719195
GeneOrGeneProduct	1390
GeneOrGeneProduct	90993
GeneOrGeneProduct	5347
SequenceVariant	p|SUB|S|796|A
ChemicalEntity	C038467
ChemicalEntity	C009941
ChemicalEntity	C488552
ChemicalEntity	D000077422
DiseaseOrPhenotypicFeature	D004761
ChemicalEntity	D014227
DiseaseOrPhenotypicFeature	D020140
SequenceVariant	rs17718883
GeneOrGeneProduct	6050
GeneOrGeneProduct	24598
GeneOrGeneProduct	192363
DiseaseOrPhenotypicFeature	OMIM:300831
GeneOrGeneProduct	4288
GeneOrGeneProduct	4361
GeneOrGeneProduct	1201
GeneOrGeneProduct	2055
ChemicalEntity	D000072376
ChemicalEntity	C028358
DiseaseOrPhenotypicFeature	D002780
DiseaseOrPhenotypicFeature	D016738
GeneOrGeneProduct	140423
GeneOrGeneProduct	140422
GeneOrGeneProduct	29527
GeneOrGeneProduct	58918
ChemicalEntity	D011804
OrganismTaxon	106130
OrganismTaxon	593754
ChemicalEntity	C040920
ChemicalEntity	C040918
GeneOrGeneProduct	13038
CellLine	CVCL_2205
GeneOrGeneProduct	1431
CellLine	CVCL_S857
GeneOrGeneProduct	244152
DiseaseOrPhenotypicFeature	C536201
GeneOrGeneProduct	774
GeneOrGeneProduct	11238
GeneOrGeneProduct	858
GeneOrGeneProduct	1
CellLine	CVCL_2737
ChemicalEntity	D011324
ChemicalEntity	D000078306
ChemicalEntity	D005013
ChemicalEntity	D000078328
ChemicalEntity	C551441
ChemicalEntity	C021092
ChemicalEntity	D000078308
GeneOrGeneProduct	27185
GeneOrGeneProduct	6585
GeneOrGeneProduct	2767
GeneOrGeneProduct	9096
SequenceVariant	p|SUB|H|146|Y
SequenceVariant	p|SUB|S|221|W
SequenceVariant	c|SUB|A|829|T
SequenceVariant	p|SUB|P|1263|L
OrganismTaxon	36075
ChemicalEntity	C496827
GeneOrGeneProduct	55894
ChemicalEntity	D000079963
ChemicalEntity	D005047
ChemicalEntity	D007069
ChemicalEntity	D016190
ChemicalEntity	D005047
ChemicalEntity	D007069
ChemicalEntity	D016190
DiseaseOrPhenotypicFeature	D005334
DiseaseOrPhenotypicFeature	D009503
DiseaseOrPhenotypicFeature	D002032
DiseaseOrPhenotypicFeature	D052018
DiseaseOrPhenotypicFeature	D056912
GeneOrGeneProduct	5021
SequenceVariant	rs53576
DiseaseOrPhenotypicFeature	D059373
SequenceVariant	rs4633
SequenceVariant	rs4818
SequenceVariant	rs2254298
GeneOrGeneProduct	25
GeneOrGeneProduct	613
SequenceVariant	rs559063155
ChemicalEntity	D000093842
GeneOrGeneProduct	100126340
ChemicalEntity	C044359
ChemicalEntity	C070380
ChemicalEntity	C032787
CellLine	CVCL_S466
GeneOrGeneProduct	2668
CellLine	CVCL_C6TU
CellLine	CVCL_D640
GeneOrGeneProduct	2002
GeneOrGeneProduct	11451
DiseaseOrPhenotypicFeature	D006315
DiseaseOrPhenotypicFeature	C538445
ChemicalEntity	C556282
ChemicalEntity	C515501
ChemicalEntity	C486464
GeneOrGeneProduct	10158
DiseaseOrPhenotypicFeature	D002532
DiseaseOrPhenotypicFeature	C564543
GeneOrGeneProduct	18569
ChemicalEntity	C584390
ChemicalEntity	C572381
CellLine	CVCL_0455
DiseaseOrPhenotypicFeature	C566610
OrganismTaxon	1291540
ChemicalEntity	C000603533
ChemicalEntity	C043060
SequenceVariant	p|SUB|I|74|A
SequenceVariant	p|SUB|I|146|A
ChemicalEntity	C541528
GeneOrGeneProduct	619373
OrganismTaxon	296148
GeneOrGeneProduct	5310
GeneOrGeneProduct	5311
ChemicalEntity	C000614963
ChemicalEntity	D003367
ChemicalEntity	C004632
ChemicalEntity	C009505
ChemicalEntity	C023622
ChemicalEntity	C029369
ChemicalEntity	C014464
ChemicalEntity	C067139
GeneOrGeneProduct	365057
SequenceVariant	p|SUB|L|99|A
GeneOrGeneProduct	100188847
OrganismTaxon	27337
ChemicalEntity	D010368
GeneOrGeneProduct	1519
ChemicalEntity	C064309
OrganismTaxon	93788
GeneOrGeneProduct	100288687
GeneOrGeneProduct	503835
GeneOrGeneProduct	342900
GeneOrGeneProduct	390245
GeneOrGeneProduct	26554
ChemicalEntity	C539933
GeneOrGeneProduct	224129
GeneOrGeneProduct	11512
GeneOrGeneProduct	192654
ChemicalEntity	C000605816
ChemicalEntity	C000628360
ChemicalEntity	C000604315
ChemicalEntity	D015237
ChemicalEntity	D009256
OrganismTaxon	137221
OrganismTaxon	119829
GeneOrGeneProduct	20655
SequenceVariant	c|SUB|G|93|A
GeneOrGeneProduct	110804
GeneOrGeneProduct	20203
GeneOrGeneProduct	387173
GeneOrGeneProduct	387140
ChemicalEntity	D012833
DiseaseOrPhenotypicFeature	D011141
ChemicalEntity	D017953
DiseaseOrPhenotypicFeature	D009464
GeneOrGeneProduct	25744
ChemicalEntity	C089984
DiseaseOrPhenotypicFeature	D019292
GeneOrGeneProduct	40763
GeneOrGeneProduct	40771
GeneOrGeneProduct	40776
GeneOrGeneProduct	42841
GeneOrGeneProduct	42501
GeneOrGeneProduct	35411
SequenceVariant	p|SUB|D|72|G
SequenceVariant	p|SUB|R|13|A
OrganismTaxon	1597
DiseaseOrPhenotypicFeature	D018213
OrganismTaxon	172978
GeneOrGeneProduct	7414
DiseaseOrPhenotypicFeature	D000072861
GeneOrGeneProduct	6532
GeneOrGeneProduct	3357
OrganismTaxon	5691
GeneOrGeneProduct	20969
GeneOrGeneProduct	24099
ChemicalEntity	D019803
OrganismTaxon	296852
ChemicalEntity	C035127
ChemicalEntity	C007210
ChemicalEntity	C005403
OrganismTaxon	7109
OrganismTaxon	7370
DiseaseOrPhenotypicFeature	D005368
OrganismTaxon	7176
GeneOrGeneProduct	79187
DiseaseOrPhenotypicFeature	D005530
GeneOrGeneProduct	853784
GeneOrGeneProduct	854379
GeneOrGeneProduct	6195
GeneOrGeneProduct	9636
OrganismTaxon	356114
GeneOrGeneProduct	11027185
ChemicalEntity	C549273
ChemicalEntity	D011092
ChemicalEntity	D016898
ChemicalEntity	D016898
SequenceVariant	p|SUB|A|30|K
SequenceVariant	p|SUB|Y|93|H
SequenceVariant	c|SUB|A|62|T
DiseaseOrPhenotypicFeature	C000711649
GeneOrGeneProduct	55
CellLine	CVCL_D804
CellLine	CVCL_J992
GeneOrGeneProduct	975
GeneOrGeneProduct	12168
DiseaseOrPhenotypicFeature	C538049
SequenceVariant	rs773655445
SequenceVariant	rs201067849
SequenceVariant	c|SUB|A|1429|G
SequenceVariant	p|SUB|K|477|E
GeneOrGeneProduct	4086
GeneOrGeneProduct	4090
GeneOrGeneProduct	4093
OrganismTaxon	10310
ChemicalEntity	D000181
ChemicalEntity	C009007
ChemicalEntity	C013243
ChemicalEntity	C024896
CellLine	CVCL_B6PU
GeneOrGeneProduct	67460
ChemicalEntity	C471364
DiseaseOrPhenotypicFeature	C000718127
OrganismTaxon	39488
OrganismTaxon	33038
OrganismTaxon	28050
OrganismTaxon	207244
GeneOrGeneProduct	3206
GeneOrGeneProduct	29357
GeneOrGeneProduct	24962
GeneOrGeneProduct	24250
GeneOrGeneProduct	2768677
GeneOrGeneProduct	42549
GeneOrGeneProduct	32805
GeneOrGeneProduct	43904
GeneOrGeneProduct	39150
GeneOrGeneProduct	32976
DiseaseOrPhenotypicFeature	D052497
DiseaseOrPhenotypicFeature	D052496
DiseaseOrPhenotypicFeature	D001845
DiseaseOrPhenotypicFeature	D000094627
GeneOrGeneProduct	26580
GeneOrGeneProduct	10555
ChemicalEntity	C541053
CellLine	CVCL_0434
ChemicalEntity	D010463
ChemicalEntity	C063072
ChemicalEntity	D053243
OrganismTaxon	119210
GeneOrGeneProduct	56681
GeneOrGeneProduct	93691
GeneOrGeneProduct	24832
DiseaseOrPhenotypicFeature	C538248
GeneOrGeneProduct	213439
GeneOrGeneProduct	11839
GeneOrGeneProduct	14459
GeneOrGeneProduct	12796
GeneOrGeneProduct	574441
DiseaseOrPhenotypicFeature	D059446
GeneOrGeneProduct	18412
GeneOrGeneProduct	56348
GeneOrGeneProduct	20528
ChemicalEntity	C545932
OrganismTaxon	1497175
CellLine	CVCL_0541
GeneOrGeneProduct	28309
GeneOrGeneProduct	3492
DiseaseOrPhenotypicFeature	C563876
SequenceVariant	p|SUB|P|68|G
DiseaseOrPhenotypicFeature	C535682
ChemicalEntity	D013874
ChemicalEntity	D001279
GeneOrGeneProduct	4345
GeneOrGeneProduct	131450
GeneOrGeneProduct	1513
GeneOrGeneProduct	2886
DiseaseOrPhenotypicFeature	C538053
DiseaseOrPhenotypicFeature	C563277
CellLine	CVCL_U718
GeneOrGeneProduct	56259
ChemicalEntity	C425904
GeneOrGeneProduct	5020
GeneOrGeneProduct	399959
GeneOrGeneProduct	406882
GeneOrGeneProduct	406911
OrganismTaxon	11234
GeneOrGeneProduct	3960
ChemicalEntity	C411946
CellLine	CVCL_A8P9
OrganismTaxon	1197255
OrganismTaxon	87236
OrganismTaxon	2654017
OrganismTaxon	2849061
ChemicalEntity	C025164
DiseaseOrPhenotypicFeature	C563710
DiseaseOrPhenotypicFeature	D018630
DiseaseOrPhenotypicFeature	C000721267
ChemicalEntity	C552956
GeneOrGeneProduct	2149
GeneOrGeneProduct	9002
GeneOrGeneProduct	2149
GeneOrGeneProduct	9002
OrganismTaxon	342002
DiseaseOrPhenotypicFeature	D013166
DiseaseOrPhenotypicFeature	D013717
DiseaseOrPhenotypicFeature	D010998
DiseaseOrPhenotypicFeature	D006101
ChemicalEntity	C107057
DiseaseOrPhenotypicFeature	C535781
DiseaseOrPhenotypicFeature	C536126
ChemicalEntity	C000633405
OrganismTaxon	10034
DiseaseOrPhenotypicFeature	C563602
GeneOrGeneProduct	84578
CellLine	CVCL_6C21
GeneOrGeneProduct	24772
GeneOrGeneProduct	266601
ChemicalEntity	C032391
OrganismTaxon	182111
GeneOrGeneProduct	22849
GeneOrGeneProduct	6613
ChemicalEntity	D011094
DiseaseOrPhenotypicFeature	C536096
DiseaseOrPhenotypicFeature	D020329
DiseaseOrPhenotypicFeature	D013009
ChemicalEntity	C078814
ChemicalEntity	D052999
GeneOrGeneProduct	23476
GeneOrGeneProduct	759
GeneOrGeneProduct	760
GeneOrGeneProduct	761
GeneOrGeneProduct	762
GeneOrGeneProduct	763
GeneOrGeneProduct	765
GeneOrGeneProduct	766
GeneOrGeneProduct	27151
DiseaseOrPhenotypicFeature	D007499
DiseaseOrPhenotypicFeature	D004479
DiseaseOrPhenotypicFeature	C563581
DiseaseOrPhenotypicFeature	D004483
GeneOrGeneProduct	2
SequenceVariant	rs1057519340
SequenceVariant	rs756064750
SequenceVariant	rs369858688
SequenceVariant	rs757448338
SequenceVariant	c|SUB|G|4002+1|A
GeneOrGeneProduct	17837
DiseaseOrPhenotypicFeature	OMIM:615607
GeneOrGeneProduct	63997
GeneOrGeneProduct	2030
DiseaseOrPhenotypicFeature	D042822
ChemicalEntity	C004784
GeneOrGeneProduct	18003
CellLine	CVCL_1824
CellLine	CVCL_2699
CellLine	CVCL_M124
CellLine	CVCL_0548
DiseaseOrPhenotypicFeature	C564004
GeneOrGeneProduct	84419
GeneOrGeneProduct	7468
DiseaseOrPhenotypicFeature	D017099
DiseaseOrPhenotypicFeature	D014352
ChemicalEntity	D000077237
ChemicalEntity	C000719071
GeneOrGeneProduct	27032
SequenceVariant	p|DEL|109_120|AQ
DiseaseOrPhenotypicFeature	D016506
DiseaseOrPhenotypicFeature	D012873
SequenceVariant	c|SUB|A|325-2|G
ChemicalEntity	C015518
SequenceVariant	c|SUB|G|247|C
SequenceVariant	p|SUB|A||P
SequenceVariant	p|SUB|A|83|P
DiseaseOrPhenotypicFeature	D002115
ChemicalEntity	D010742
ChemicalEntity	C039128
GeneOrGeneProduct	1508
GeneOrGeneProduct	1514
ChemicalEntity	C507699
GeneOrGeneProduct	574032
CellLine	CVCL_1661
ChemicalEntity	C000722510
ChemicalEntity	D008730
GeneOrGeneProduct	360704
GeneOrGeneProduct	301229
GeneOrGeneProduct	286934
ChemicalEntity	C071065
ChemicalEntity	C000601108
GeneOrGeneProduct	100009088
GeneOrGeneProduct	100008990
GeneOrGeneProduct	79447
CellLine	CVCL_7673
GeneOrGeneProduct	54514
GeneOrGeneProduct	254394
DiseaseOrPhenotypicFeature	D054331
DiseaseOrPhenotypicFeature	C536875
SequenceVariant	rs587777872
SequenceVariant	p|SUB|R|132|*
DiseaseOrPhenotypicFeature	OMIM:233300
DiseaseOrPhenotypicFeature	D053713
ChemicalEntity	C543999
ChemicalEntity	D006897
ChemicalEntity	D015102
ChemicalEntity	D006719
DiseaseOrPhenotypicFeature	C537921
GeneOrGeneProduct	2923
OrganismTaxon	187497
ChemicalEntity	C007898
GeneOrGeneProduct	100506248
GeneOrGeneProduct	5757
DiseaseOrPhenotypicFeature	D018239
DiseaseOrPhenotypicFeature	D011183
ChemicalEntity	D000077122
ChemicalEntity	D009388
ChemicalEntity	D013865
ChemicalEntity	C000591251
ChemicalEntity	C000726158
GeneOrGeneProduct	20905
ChemicalEntity	C038193
ChemicalEntity	C003089
DiseaseOrPhenotypicFeature	D042883
ChemicalEntity	C405603
ChemicalEntity	C055328
ChemicalEntity	D011285
GeneOrGeneProduct	1728
GeneOrGeneProduct	4835
GeneOrGeneProduct	221883
GeneOrGeneProduct	4835
CellLine	CVCL_1289
GeneOrGeneProduct	574452
GeneOrGeneProduct	4199
ChemicalEntity	C015145
ChemicalEntity	D012266
GeneOrGeneProduct	100187907
GeneOrGeneProduct	3315
OrganismTaxon	563466
OrganismTaxon	42458
DiseaseOrPhenotypicFeature	D060085
DiseaseOrPhenotypicFeature	D008172
ChemicalEntity	C059765
ChemicalEntity	C062629
GeneOrGeneProduct	2677
ChemicalEntity	D015055
DiseaseOrPhenotypicFeature	D009383
ChemicalEntity	C023599
ChemicalEntity	D010938
DiseaseOrPhenotypicFeature	D005119
DiseaseOrPhenotypicFeature	C535566
GeneOrGeneProduct	57724
SequenceVariant	rs757039433
SequenceVariant	c|DEL|1461|C
SequenceVariant	c|SUB|G|3447|A
SequenceVariant	c|SUB|C|5993|G
SequenceVariant	rs201757275
GeneOrGeneProduct	6656
GeneOrGeneProduct	5034
DiseaseOrPhenotypicFeature	D007039
GeneOrGeneProduct	7472
CellLine	CVCL_A1XH
GeneOrGeneProduct	8323
GeneOrGeneProduct	7855
OrganismTaxon	11620
ChemicalEntity	C086548
OrganismTaxon	2169991
GeneOrGeneProduct	280287
GeneOrGeneProduct	21748
GeneOrGeneProduct	6383789
ChemicalEntity	D002594
GeneOrGeneProduct	66592
GeneOrGeneProduct	298203
GeneOrGeneProduct	2010
DiseaseOrPhenotypicFeature	D000083143
GeneOrGeneProduct	5081
GeneOrGeneProduct	4617
DiseaseOrPhenotypicFeature	D020389
GeneOrGeneProduct	10919
SequenceVariant	p|SUB|S|54|F
SequenceVariant	p|SUB|Q|133|H
SequenceVariant	c|SUB|T|73|A
SequenceVariant	p|SUB|D|253|N
SequenceVariant	p|SUB|A|522|S
GeneOrGeneProduct	353
GeneOrGeneProduct	5698
GeneOrGeneProduct	5699
GeneOrGeneProduct	5720
GeneOrGeneProduct	5721
ChemicalEntity	D017693
ChemicalEntity	D000073739
DiseaseOrPhenotypicFeature	D021182
ChemicalEntity	C115058
ChemicalEntity	C109476
ChemicalEntity	C469328
OrganismTaxon	1663
OrganismTaxon	13687
OrganismTaxon	4842
OrganismTaxon	5149
DiseaseOrPhenotypicFeature	D005535
GeneOrGeneProduct	19227
GeneOrGeneProduct	208727
GeneOrGeneProduct	15184
GeneOrGeneProduct	18747
GeneOrGeneProduct	70661
GeneOrGeneProduct	55948
GeneOrGeneProduct	17260
GeneOrGeneProduct	17691
GeneOrGeneProduct	235344
ChemicalEntity	C025316
GeneOrGeneProduct	7172
GeneOrGeneProduct	55270
GeneOrGeneProduct	3704
GeneOrGeneProduct	10257
DiseaseOrPhenotypicFeature	D006967
ChemicalEntity	C003964
GeneOrGeneProduct	5506
GeneOrGeneProduct	84973
GeneOrGeneProduct	100313886
CellLine	CVCL_C7H9
GeneOrGeneProduct	64781
GeneOrGeneProduct	1892
GeneOrGeneProduct	254531
GeneOrGeneProduct	9123
GeneOrGeneProduct	113235
GeneOrGeneProduct	7263
ChemicalEntity	C093896
OrganismTaxon	336127
GeneOrGeneProduct	18999
GeneOrGeneProduct	14562
GeneOrGeneProduct	17126
GeneOrGeneProduct	17127
DiseaseOrPhenotypicFeature	D004382
DiseaseOrPhenotypicFeature	D006396
DiseaseOrPhenotypicFeature	C564019
DiseaseOrPhenotypicFeature	D004378
GeneOrGeneProduct	11344
GeneOrGeneProduct	5756
GeneOrGeneProduct	11034
ChemicalEntity	D002744
ChemicalEntity	C472067
ChemicalEntity	C093230
ChemicalEntity	C108476
DiseaseOrPhenotypicFeature	C537575
SequenceVariant	p|SUB|W|53
SequenceVariant	270|H
SequenceVariant	p|SUB|W|53
SequenceVariant	245|W
CellLine	CVCL_4326
GeneOrGeneProduct	15487
ChemicalEntity	C062025
GeneOrGeneProduct	11107476
DiseaseOrPhenotypicFeature	D018240
ChemicalEntity	C038328
OrganismTaxon	64478
ChemicalEntity	C016583
ChemicalEntity	D008769
CellLine	CVCL_X250
CellLine	CVCL_A6HE
GeneOrGeneProduct	13645
GeneOrGeneProduct	29583
GeneOrGeneProduct	100314074
DiseaseOrPhenotypicFeature	C535484
DiseaseOrPhenotypicFeature	D004933
DiseaseOrPhenotypicFeature	D006831
DiseaseOrPhenotypicFeature	D003616
DiseaseOrPhenotypicFeature	D008850
GeneOrGeneProduct	7546
GeneOrGeneProduct	85416
DiseaseOrPhenotypicFeature	D005124
DiseaseOrPhenotypicFeature	C536534
DiseaseOrPhenotypicFeature	D000071056
DiseaseOrPhenotypicFeature	D014138
DiseaseOrPhenotypicFeature	C537754
OrganismTaxon	1234273
ChemicalEntity	C005499
OrganismTaxon	9091
OrganismTaxon	93934
DiseaseOrPhenotypicFeature	D010188
SequenceVariant	rs78655421
ChemicalEntity	C569105
ChemicalEntity	C413692
GeneOrGeneProduct	55876
GeneOrGeneProduct	5154
CellLine	CVCL_S157
GeneOrGeneProduct	11540
GeneOrGeneProduct	7248
DiseaseOrPhenotypicFeature	D000070603
DiseaseOrPhenotypicFeature	D007873
DiseaseOrPhenotypicFeature	D010020
DiseaseOrPhenotypicFeature	OMIM:142700
GeneOrGeneProduct	2657
GeneOrGeneProduct	4884
GeneOrGeneProduct	200407
DiseaseOrPhenotypicFeature	D046788
DiseaseOrPhenotypicFeature	D057068
OrganismTaxon	9863
ChemicalEntity	C000592662
SequenceVariant	p|SUB|V|106|A
SequenceVariant	p|SUB|Y|188|L
SequenceVariant	p|SUB|F|227|C
SequenceVariant	L
SequenceVariant	p|SUB|M|230|L
SequenceVariant	p|SUB|Y|318|F
SequenceVariant	p|SUB|G|190|E
SequenceVariant	p|SUB|G|190|S
SequenceVariant	p|SUB|L|100|I
SequenceVariant	p|SUB|K|103|N
SequenceVariant	p|SUB|P|225|H
SequenceVariant	p|SUB|V|108|I
SequenceVariant	p|SUB|K|101|E
SequenceVariant	p|SUB|Y|181|C
SequenceVariant	c|SUB|G|190|A
GeneOrGeneProduct	51330
GeneOrGeneProduct	8742
